Datetime,Text
2021-09-07 16:11:44+00:00,@BO0o_oO 과학천재....는 아니고요(절대아님) 걍 이과라서 그런거....ㅋㅋㅋㅋㅋㅋㅋㅋ
2021-09-07 13:57:05+00:00,@i_10v2_u 이과라서 차일듯
2021-09-07 12:58:53+00:00,"흠
제 친구들 중에서 간호학과 지망인 애들은 어째 전부 이과라서"
2021-09-07 11:44:58+00:00,@morikubo_nabi 오 이과지식...듣고싶네요~~저도 이과라서 그런얘기 흥미롭게 잘듣거든요!!
2021-09-07 10:00:18+00:00,"신화에서, 죽기로 되어 있었는데 어찌어찌 오래 산 인간 같은 이야기... 없나. 메리 쨩은 이과라서 잘 모른달까. (흐릿)"
2021-09-07 09:41:35+00:00,@DAY6__SUNGJIN 박성진 이과라서 소괄호랑 중괄호 잘 쓰는거 너무 좋다 발린다 결혼하고싶다........
2021-09-07 07:19:24+00:00,"@_0079360 ㅠ
ㅠ
ㅠ하 머무 조아요 진짜요... 약간 오히려 은근히 지저분한거 싫너해두 조을거같구 이과라서(?) 
ㅜㅜㅜㅜㅜㅜㅜ코믹스 진짜 눤합니다 딸기님을 고용해서 내라 블리자드"
2021-09-07 05:09:44+00:00,@179x230 웅님의 취향 알듯모를듯. 잡식성같은 분위기. 오만은 막장미드풍캐고 예담이는... 고양이과라서 괴롭힘당하는 입장이긴 하네요 ^_^. ㅋ ㅋ 진짜 가라 천재시네요 하 저 대사만 봐도 설레죽겠어요 가라에 맞가라해서 지옥나락으로 보내버리고싶은 마음~ 걍 같커안해서 망상만 씨부리고있져? ㅋ ㅋ ㅋ
2021-09-06 17:35:59+00:00,@EN_eaggui 수학!???아뇨저두탐구로맞출거예요ㅜㅜㅜ 그냥 이과라서..좀 미련이남을뿐..선택도 미적분이라 다르게집계될듯요... 탐구도 화학생윤이라..아오.. 화이팅해욧!!!!!! 전 영어를못해서... 이번에 70점3뜬..ㅋㅋ..하..
2021-09-06 16:49:44+00:00,처음 솛 씻길 때 호랑이도 고양이과라서 물 싫어하려나? 싶었는데 걱정이 무색할 만큼 얌전하게 목욕하는 솛랑이 오히려 물 좋아서 첨벙첨벙 장난쳐서 잆 옷 다 젖음 https://t.co/wyBnx1CEIt
