Datetime,Text
2021-09-07 14:21:24+00:00,교수는아니고 대학원생..이제 문과라서 교수님5분대기조인 https://t.co/1mi5A7CW0A
2021-09-07 14:09:25+00:00,@Ooya__O 내가 문과라서 센스가 좀 뛰어나
2021-09-07 14:07:22+00:00,@susubiroop 머? 그장도면... 근데 난 문과라서 사실 잘 모르겟어
2021-09-07 12:12:39+00:00,@Yul_Moo_n 사실 문과라서 잘(머쓱
2021-09-07 11:57:50+00:00,"지구과학 쌤은 맨날 느긋한 목소리로 우리 아들이 어렸을 적에 ~적에,, 이러셨는데.. 일주일에 한 번 그 선생님 수업 들을 때마다 문과라서 정말 다행이라고 생각함.."
2021-09-07 10:42:35+00:00,@dumunng 난 문과라서... 간판.....
2021-09-07 10:13:09+00:00,"마루: 2차원으로 가려면 어떻게 해야 할까?
소한: 이론적으로는 미분하면 갈 수 있습니다. 몸을 좀 남겨두지 않으면 적분해도 못 돌아오겠지만.
마루: (문과라서 이해는 못했지만, 미분하면 사진으로 들어갈 수 있나봐)
소한: 저도 문과입니다.

#벽원고"
2021-09-07 09:12:53+00:00,@girinchan 전 뼈문과라서 응원만 가능해요 ㅠㅠ흑흑
2021-09-07 05:22:23+00:00,"저 수학 좋아하는 문과라서 심리학에 자신 있음
무슨상관인데요"
2021-09-07 05:08:18+00:00,아서터러 교환일기... 끌리는데요 한다면 시즌2 제시일 것 같아요. 시즌3 이후 제시에겐 제가 도저히 발 끝도 못 따라가는 문과라서...
2021-09-07 04:44:58+00:00,"@kasha_ff14p 제목줄임ㅠㅠㅜㅜㅠㅠㅜ 문과라서 죄송하지 않는다 뭐 이런 제목이엇던것같은데,,, 카샤님의 말을듣고 꽤나 흥미로워진편"
2021-09-07 02:47:45+00:00,갑자기 궁금해진게 바율은 왜 문과일까 4대정령은 자연이랑 연관되어있고 자연은 과학쪽인데 과학은 이과고...언어쪽이 문과라서 바율이 가국어 잘하니까 문과인가
2021-09-06 18:58:18+00:00,"""너 문과라서 나보다 똑똑하잖아?""
""문과 아닌뎁쇼.""

→스기다 잇세이"
2021-09-06 17:05:58+00:00,"@x_ss_u 문과라서죄송합니다
그리고
내가영업당하는중인 문과라도안죄송한이세계로감
줄여서 문송안함
같이 읽을래?"
2021-09-06 11:05:36+00:00,@sth_shampoo_dos 맞춤법 검사기ㅋㅌㅋㅋㅋ 아 그거좋네요 제가 문과라서 이런거 또 그냥 못넘어가거등요 아시겠죠?😊😊
2021-09-06 10:16:01+00:00,@2mark_mywife 언니 문과라서 미안해요 https://t.co/qrx487UKel
2021-09-06 09:34:14+00:00,"이과면은 이해가는 상황인거야?
내가 문과라서 이해를 못하는 거야?
아니면 나도 모르는 사이에
20+35+50+15가 언제부터 12.001이 된거야?
그럼 나는 저때마다 시말서 써야해?"
2021-09-06 09:20:11+00:00,문과라서;
2021-09-06 09:01:47+00:00,키튼은 캠퍼스에유하면 이과 갈 것 같은데 내가 골수까지 문과라서 그쪽은 전혀 모름 대충 그럴 것 같다... 그거 아니면 정치외교학과;
2021-09-06 05:20:53+00:00,"근데 얘들아
나도 문과라서 그런데
유전자가 섞이는 경우는 없지??
글케 배운 것 같긴 한데 n년 전이라 헷갈리는 중"
2021-09-06 04:15:43+00:00,@study0713 전 뼈문과라서••• 과학 수학적인 거 나오면 머리가 멍해요 ㅎㅎ휴ㅠㅠㅠㅠㅠ(ᵕ̣̣̣̣̣̣﹏ᵕ̣̣̣̣̣̣)
2021-09-06 01:45:43+00:00,아 진짜 웃기다 ㅋㅋㅋㅋ ㅠㅠ 원래 호그와트는 전자기기 반입 안 되는데 전파 같은 거 때문에 기기 먹통 된대요 문과라서 몰라 그렇대
2021-09-05 19:50:11+00:00,문과라서;
2021-09-05 14:32:23+00:00,도움드리고싶은데 문과라서슬프다
2021-09-05 13:27:35+00:00,@jjapbooba 사실 전 문과라서 제가 뭔소리를 하는지 모르게써용
2021-09-05 11:01:36+00:00,@wangseolsa 아니면 성대 공대쪽으로가는거어떠무 지민이도거기간대.거기가면 자동으로삼전취업된다는데? 난문과라서 서성한가면 취업안되고 최소 연고대는 가야댐...  ㅜㅜ
2021-09-05 09:13:58+00:00,@minhottest_0904 네?? 문과 보다 이과가 재밌어요…!! 사실 저도 이과를 희망하는 문과라서…😘
2021-09-05 09:05:58+00:00,@minhottest_0904 근데 저거 진짜 이과가서 생명과학이나 이런거 배울거 아니면 쓸모 없어 차라리 법 같은거 알아놓는게 더 유용해 (문과라서 정법 배우는 사람)
2021-09-05 06:00:19+00:00,"저 공부하기싫어서이러는거맞아요
문법필기 먼저다함 5분정도의쉬는시간개꿀(언매는미리미리끝냅시다전세번째돌리는데아직도하나씩틀려요)루소는 문과겠지? 싶음 과학은 접하기 힘든분야인데다가 주변사람이 문과라서(애들쳐다봄)
넘 공부 안된다 싶으면 사피엔스 원서 뽑아서 천천히 읽어봄"
2021-09-05 03:17:39+00:00,"저는 뼈문과라서 너무너무 감명깊게 읽고 있답니다,,,"
2021-09-05 02:20:11+00:00,문과라서;
2021-09-04 18:48:40+00:00,"@minjun_03 제가 문과라서 잘 모르지만 제가 아는걸로는 다 느끼는데 좀 더 거기가 민감하게 반응한다는걸로 알고잇어요,,,틀릴 수도 잇어용,,"
2021-09-04 17:57:06+00:00,얘들아 수학 중에선 기벡이 제일 어렵지 사실 나 문과라서 모르겠어 난 게다가 2015 개정이라 기벡 없어졌단 말이야
2021-09-04 13:31:47+00:00,문과라서;
2021-09-04 12:04:25+00:00,"@pen_pil 그럼 무조건 미적하고 언매, 화작은 네가 더 잘하는걸로! 근데 수능 백분위 점수 더 높게 나오는건 언매양 난 문과라서 언매 확통해!"
2021-09-04 07:35:30+00:00,"@ttass_db 맞긴해.......
근데 내기준 가장 정신없는 인강강사 1위는
장풍임
문과라서 안 들어봤으려나?
진짜기절항거같아ㅅㅂ"
2021-09-03 14:00:55+00:00,@shiny_macross 저는 이과라서 약과로 겪었는데 제 동생이 문과라서 윤리 담당이 공포의 깜지를 호되게 당해서...
2021-09-03 10:43:46+00:00,제가 고딩때만해도 수포자 왕많았는데 우선 문과라서 대체적으로 분위기가 야~ 수학 졸업하면 아무쓸모도 없어~ 야 ! 돈계산만 잘하면 된다! 이런식에다가 예체능이니까 얼마나 수학을 중요하지 생각하지 않았겠어요.. 심지어 나 입시할때는 미대 top3 국민 과기대 설대 중에서 최저등급 3등급이면
2021-09-03 05:15:52+00:00,"사회(국사/법경/세계사/세계지리)- 호
좋아하는 것만 골라들었으니 싫어할리가 없다(문과임)

과학(화학/생물)- 호
문과라서 2과목만 들으면 됐는데 제일 좋아하는건 원래 지구과학임 근데 미달나서 반 개설이 안됨ㅎ

지구과학&gt;&gt;&gt;&gt;&gt;&gt;화학&gt;생물&gt;&gt;&gt;&gt;물리 순서로 좋아함 물리한정 불호ㅋㅋㅋ(물리싫어~)"
2021-09-03 04:58:22+00:00,그냥 수학 과학 언어를 못 하는 것입니다 닝겐이여… 문과라서 이과라서가 아니야-_-
2021-09-03 03:00:59+00:00,@siki_416 저는 문과라서...^^
2021-09-03 02:32:13+00:00,문과라서;
2021-09-03 01:36:42+00:00,저희 반 여자애들도 4명인가? 밖에 없는데 그마저도 나머지 애들 다 문과라서 저 남자애들이랑 같이 다니구요... 1학년때도 여자애들 남자애들 다같이 몰려다녔어요 귀찮아서 급식 안먹는다하면 남자애랑 매점가고 그랬습니다... 그...익명님이 말하는 연애적 사랑은 못받아봤는데 적어도 우정으로서의
2021-09-02 15:57:54+00:00,"멋지다...... 호진이는 문과라서 이과목 젬병ww
장난치면 ""저 말고 여기 간호사분이 더 이상한데요 ㅋㅋㅋㅋㅋ"" 하는 상상 https://t.co/RUoUwbOiGP"
2021-09-02 15:06:53+00:00,"윤은 이과라서 7반에 있고 최는 문과라서 1반인데 굳이 7반까지 찾아와서 윤한테 시비터는 최. 

-야 윥정앉 니 체육복 있냐?
- 엉, 근데 너 줄 체육복은 없음
- 어이없네. 하긴 니 체육복 빌려도 작아서 못입겠다~ 
- 니네반으로 꺼져라."
2021-09-02 14:10:58+00:00,"아 근데 보두앵... ㄹㅇ 찐문과라서 치명타 터질 때마다 시 한 구절 읊듯이 뭐 읊어주고
붕괴가 폭력적/이기적이 아니면 문과감성 여전한 것도 참 좋음..."
2021-09-02 13:40:53+00:00,아 이거 뭔지 알아요... 친가 외가 다 합쳐도 나만 문과라서.. 이과 집안에 천생 문과 태어나버림 https://t.co/m3cwNH9bzk
2021-09-02 11:47:59+00:00,원래 걔가 문과라서 경영 이런과로 갈줄 알았는데 재수해서 스카이 흰 가운 입고잇더라리 흰 가운은 내가 입고 싶었던건데 지금 나는...
2021-09-02 11:20:12+00:00,문과라서;
2021-09-02 10:05:15+00:00,"@m_fantasy_ss 나도 너무 듣고 싶은 과목인데ㅠ 내가 문과라서,,"
2021-09-02 07:31:03+00:00,@Thatbear1228 나는 문과라서 모루겠어요
2021-09-02 04:13:37+00:00,"마루: 2차원으로 가려면 어떻게 해야 할까?
소한: 이론적으로는 미분하면 갈 수 있습니다. 몸을 좀 남겨두지 않으면 적분해도 못 돌아오겠지만.
마루: (문과라서 이해는 못했지만, 미분하면 사진으로 들어갈 수 있나봐)
소한: 저도 문과입니다.

#벽원고"
2021-09-02 04:08:32+00:00,@risweull 저도 문과라서… 허헣
2021-09-02 00:07:12+00:00,@moka_kaa 저는 문과라서 사회로 3과목 싹 몰고 3학년때 과학으로 과학사 들어요. 이런 느낌이에요!
2021-09-01 14:43:41+00:00,"율제고 다 문과인 이유,,,
제가 문과라서 이과를 몰라서요,,,"
2021-09-01 14:16:20+00:00,"#과목_호불호 
저도 해볼래요

수학- 으 안녕히가세요
국어- 문과라서 사랑합니다
영어- 졸려요,,
사회- 그..그만
과학- 그..그만22
기술- 기술 몰라도 사는데
아무 지장 없을 거 같아요
가정- 저희 교과서로 수업
안하고 이상한거 배워요.."
